# of turns,permittivity(sur),LS/LW,SEP,permittivity(sub),OD,HFSS
2.0,30.0,0.3,0.3,8.0,8.0,0.40222
2.0,30.0,0.3,0.3,8.0,16.0,0.155303
2.0,30.0,0.3,0.3,8.0,32.0,0.0607
2.0,30.0,0.3,0.6,2.2,4.0,1.966
2.0,30.0,0.3,0.6,2.2,8.0,0.5676768
2.0,30.0,0.3,0.6,2.2,16.0,0.2608586
2.0,30.0,0.3,0.6,2.2,32.0,0.1051495
2.0,30.0,0.3,0.6,4.4,4.0,0.17404
2.0,30.0,0.3,0.6,4.4,8.0,0.56444
2.0,30.0,0.3,0.6,4.4,16.0,0.1671717
2.0,30.0,0.3,0.6,4.4,32.0,0.0913939
2.0,30.0,0.3,0.6,8.0,4.0,1.4413
2.0,30.0,0.3,0.6,8.0,8.0,0.4654545
2.0,30.0,0.3,0.6,8.0,16.0,0.1765576
2.0,30.0,0.3,0.6,8.0,32.0,0.0675
2.0,50.0,0.1,0.3,2.2,2.0,3.101
2.0,50.0,0.1,0.3,2.2,4.0,1.2485
2.0,50.0,0.1,0.3,2.2,8.0,0.5176768
2.0,50.0,0.1,0.3,2.2,16.0,0.2112424
2.0,50.0,0.1,0.3,2.2,32.0,0.0960909
2.0,50.0,0.1,0.3,4.4,2.0,2.7535
2.0,50.0,0.1,0.3,4.4,4.0,1.1144
2.0,50.0,0.1,0.3,4.4,8.0,0.46444
2.0,50.0,0.1,0.3,4.4,16.0,0.1568182
2.0,50.0,0.1,0.3,4.4,32.0,0.0825758
2.0,50.0,0.1,0.3,8.0,2.0,2.2949
2.0,50.0,0.1,0.3,8.0,4.0,0.7515152
2.0,50.0,0.1,0.3,8.0,8.0,0.2884848
2.0,50.0,0.1,0.3,8.0,16.0,0.1117566
2.0,50.0,0.1,0.3,8.0,32.0,0.0691
2.0,50.0,0.1,0.6,2.2,2.0,3.3545
2.0,50.0,0.1,0.6,2.2,4.0,1.3667
2.0,50.0,0.1,0.6,2.2,8.0,0.5295556
2.0,50.0,0.1,0.6,2.2,16.0,0.2017273
2.0,50.0,0.1,0.6,2.2,32.0,0.1065253
2.0,50.0,0.1,0.6,4.4,2.0,3.0354
2.0,50.0,0.1,0.6,4.4,4.0,1.1967
2.0,50.0,0.1,0.6,4.4,8.0,0.4793939
2.0,50.0,0.1,0.6,4.4,16.0,0.1851515
2.0,50.0,0.1,0.6,4.4,32.0,0.0766818
2.0,50.0,0.1,0.6,8.0,2.0,2.4626
2.0,50.0,0.1,0.6,8.0,4.0,0.9747
2.0,50.0,0.1,0.6,8.0,8.0,0.3878788
2.0,50.0,0.1,0.6,8.0,16.0,0.1160697
2.0,50.0,0.1,0.6,8.0,32.0,0.05382630000000001
2.0,50.0,0.3,0.3,2.2,4.0,1.5919
2.0,50.0,0.3,0.3,2.2,8.0,0.5424242
2.0,50.0,0.3,0.3,2.2,16.0,0.2213636
2.0,50.0,0.3,0.3,2.2,32.0,0.0931818
2.0,50.0,0.3,0.3,4.4,4.0,1.3648
2.0,50.0,0.3,0.3,4.4,8.0,0.4614141
2.0,50.0,0.3,0.3,4.4,16.0,0.1785697
2.0,50.0,0.3,0.3,4.4,32.0,0.078303
2.0,50.0,0.3,0.3,8.0,4.0,1.162
2.0,50.0,0.3,0.3,8.0,8.0,0.3977273
2.0,50.0,0.3,0.3,8.0,16.0,0.1563808
2.0,50.0,0.3,0.3,8.0,32.0,0.0704848
2.0,50.0,0.3,0.6,2.2,4.0,1.8636
2.0,50.0,0.3,0.6,2.2,8.0,0.5913131
2.0,50.0,0.3,0.6,2.2,16.0,0.2125253
2.0,50.0,0.3,0.6,2.2,32.0,0.0939394
2.0,50.0,0.3,0.6,4.4,4.0,1.6727
2.0,50.0,0.3,0.6,4.4,8.0,0.5242424
2.0,50.0,0.3,0.6,4.4,16.0,0.1936485
2.0,50.0,0.3,0.6,4.4,32.0,0.0898465
2.0,50.0,0.3,0.6,8.0,4.0,1.3339
2.0,50.0,0.3,0.6,8.0,8.0,0.4596768
2.0,50.0,0.3,0.6,8.0,16.0,0.1746616
2.0,50.0,0.3,0.6,8.0,32.0,0.06
4.0,1.0,0.1,0.3,2.2,2.0,2.8652
4.0,1.0,0.1,0.3,2.2,4.0,0.8094
4.0,1.0,0.1,0.3,2.2,8.0,0.2889
4.0,1.0,0.1,0.3,2.2,16.0,0.1272727
4.0,1.0,0.1,0.3,2.2,32.0,0.0476343
4.0,1.0,0.1,0.3,4.4,2.0,2.2273
4.0,1.0,0.1,0.3,4.4,4.0,0.6889
4.0,1.0,0.1,0.3,4.4,8.0,0.2614141
4.0,1.0,0.1,0.3,4.4,16.0,0.1127879
4.0,1.0,0.1,0.3,4.4,32.0,0.0370101
4.0,1.0,0.1,0.3,8.0,2.0,1.8045
4.0,1.0,0.1,0.3,8.0,4.0,0.494
4.0,1.0,0.1,0.3,8.0,8.0,0.1685161
4.0,1.0,0.1,0.3,8.0,16.0,0.0731458
4.0,1.0,0.1,0.3,8.0,32.0,0.0293
4.0,1.0,0.1,0.6,2.2,2.0,3.6529
4.0,1.0,0.1,0.6,2.2,4.0,1.1358
4.0,1.0,0.1,0.6,2.2,8.0,0.3275
4.0,1.0,0.1,0.6,2.2,16.0,0.1326667
4.0,1.0,0.1,0.6,2.2,32.0,0.0562778
4.0,1.0,0.1,0.6,4.4,2.0,2.9354
4.0,1.0,0.1,0.6,4.4,4.0,0.8593939
4.0,1.0,0.1,0.6,4.4,8.0,0.2986364
4.0,1.0,0.1,0.6,4.4,16.0,0.1041616
4.0,1.0,0.1,0.6,4.4,32.0,0.0424343
4.0,1.0,0.1,0.6,8.0,2.0,2.2642
4.0,1.0,0.1,0.6,8.0,4.0,0.6374
4.0,1.0,0.1,0.6,8.0,8.0,0.219697
4.0,1.0,0.1,0.6,8.0,16.0,0.0825455
4.0,1.0,0.1,0.6,8.0,32.0,0.0321566
4.0,1.0,0.3,0.3,2.2,8.0,0.4284
4.0,1.0,0.3,0.3,2.2,16.0,0.1406667
4.0,1.0,0.3,0.3,2.2,32.0,0.057740400000000004
4.0,1.0,0.3,0.3,4.4,8.0,0.3278788
4.0,1.0,0.3,0.3,4.4,16.0,0.1018182
4.0,1.0,0.3,0.3,4.4,32.0,0.0436919
4.0,1.0,0.3,0.3,8.0,8.0,0.239596
4.0,1.0,0.3,0.3,8.0,16.0,0.0766263
4.0,1.0,0.3,0.3,8.0,32.0,0.0332273
4.0,1.0,0.3,0.6,2.2,8.0,0.5241
4.0,1.0,0.3,0.6,2.2,16.0,0.1731313
4.0,1.0,0.3,0.6,2.2,32.0,0.0662323
4.0,1.0,0.3,0.6,4.4,8.0,0.42
4.0,1.0,0.3,0.6,4.4,16.0,0.1309091
4.0,1.0,0.3,0.6,4.4,32.0,0.050303
4.0,1.0,0.3,0.6,8.0,8.0,0.3116162
4.0,1.0,0.3,0.6,8.0,16.0,0.100303
4.0,1.0,0.3,0.6,8.0,32.0,0.0387071
4.0,30.0,0.1,0.3,2.2,2.0,2.1697
4.0,30.0,0.1,0.3,2.2,4.0,0.5644
4.0,30.0,0.1,0.3,2.2,8.0,0.1757576
4.0,30.0,0.1,0.3,2.2,16.0,0.0717159
4.0,30.0,0.1,0.3,2.2,32.0,0.0405768
4.0,30.0,0.1,0.3,4.4,2.0,1.8118
4.0,30.0,0.1,0.3,4.4,4.0,0.4673
4.0,30.0,0.1,0.3,4.4,8.0,0.1656566
4.0,30.0,0.1,0.3,4.4,16.0,0.0580818
4.0,30.0,0.1,0.3,4.4,32.0,0.029843200000000004
4.0,30.0,0.1,0.3,8.0,2.0,1.5277
4.0,30.0,0.1,0.3,8.0,4.0,0.4223
4.0,30.0,0.1,0.3,8.0,8.0,0.1484848
4.0,30.0,0.1,0.3,8.0,16.0,0.053434300000000004
4.0,30.0,0.1,0.3,8.0,32.0,0.0279747
4.0,30.0,0.1,0.6,2.2,2.0,1.8464
4.0,30.0,0.1,0.6,2.2,4.0,0.6621
4.0,30.0,0.1,0.6,2.2,8.0,0.2065657
4.0,30.0,0.1,0.6,2.2,16.0,0.1069697
4.0,30.0,0.1,0.6,2.2,32.0,0.0318111
4.0,30.0,0.1,0.6,4.4,2.0,2.2455
4.0,30.0,0.1,0.6,4.4,4.0,0.6357879
4.0,30.0,0.1,0.6,4.4,8.0,0.1860606
4.0,30.0,0.1,0.6,4.4,16.0,0.060181799999999994
4.0,30.0,0.1,0.6,4.4,32.0,0.025985799999999996
4.0,30.0,0.1,0.6,8.0,2.0,1.8828
4.0,30.0,0.1,0.6,8.0,4.0,0.5411
4.0,30.0,0.1,0.6,8.0,8.0,0.1535354
4.0,30.0,0.1,0.6,8.0,16.0,0.0570818
4.0,30.0,0.1,0.6,8.0,32.0,0.0214
4.0,30.0,0.3,0.3,2.2,8.0,0.3056566
4.0,30.0,0.3,0.3,2.2,16.0,0.0902879
4.0,30.0,0.3,0.3,2.2,32.0,0.0392626
4.0,30.0,0.3,0.3,4.4,8.0,0.2539394
4.0,30.0,0.3,0.3,4.4,16.0,0.0734848
4.0,30.0,0.3,0.3,4.4,32.0,0.0267273
4.0,30.0,0.3,0.3,8.0,8.0,0.2090909
4.0,30.0,0.3,0.3,8.0,16.0,0.065303
4.0,30.0,0.3,0.3,8.0,32.0,0.0205
4.0,30.0,0.3,0.6,2.2,8.0,0.3924242
4.0,30.0,0.3,0.6,2.2,16.0,0.1002525
4.0,30.0,0.3,0.6,2.2,32.0,0.050363599999999994
4.0,30.0,0.3,0.6,4.4,8.0,0.3292929
4.0,30.0,0.3,0.6,4.4,16.0,0.0954545
4.0,30.0,0.3,0.6,4.4,32.0,0.045333
4.0,30.0,0.3,0.6,8.0,8.0,0.2730303
4.0,30.0,0.3,0.6,8.0,16.0,0.0804788
4.0,30.0,0.3,0.6,8.0,32.0,0.0262
4.0,50.0,0.1,0.3,2.2,2.0,2.06869
4.0,50.0,0.1,0.3,2.2,4.0,0.5121
4.0,50.0,0.1,0.3,2.2,8.0,0.1858586
4.0,50.0,0.1,0.3,2.2,16.0,0.0944949
4.0,50.0,0.1,0.3,2.2,32.0,0.036697
4.0,50.0,0.1,0.3,4.4,2.0,1.8121
4.0,50.0,0.1,0.3,4.4,4.0,0.4611
4.0,50.0,0.1,0.3,4.4,8.0,0.1541414
